profile,n,k,r,block_width,batch_size,lut_table_bytes,cache_level_fit,cache_level_ordinal,table_lookups_per_codeword,theoretical_ops,counter_mode,perf_available,perf_event_paranoid,typeperf_available,counter_events,l1_misses_per_bit,l2_misses_per_bit,llc_misses_per_bit,cycles_per_bit,notes,l1d_bytes,l2_bytes,l3_bytes
bch_255_239_r16,255,239,16,4,100,2048,L1,1,64,1280,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,25,100,738197504,DRAM,4,11,451,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,25,1000,738197504,DRAM,4,11,451,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,25,100000,738197504,DRAM,4,11,451,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,26,100,1342177280,DRAM,4,10,420,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,26,1000,1342177280,DRAM,4,10,420,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,26,100000,1342177280,DRAM,4,10,420,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,4,100,3072,L1,1,64,1792,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,4,1000,3072,L1,1,64,1792,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,4,100000,3072,L1,1,64,1792,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,5,100,4896,L1,1,51,1479,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,5,1000,4896,L1,1,51,1479,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,5,100000,4896,L1,1,51,1479,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,6,100,8256,L1,1,43,1290,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,6,1000,8256,L1,1,43,1290,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,6,100000,8256,L1,1,43,1290,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,7,100,14208,L1,1,37,1147,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,7,1000,14208,L1,1,37,1147,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_231_r24,255,231,24,7,100000,14208,L1,1,37,1147,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
