preset,code_profile,n,r,backend,block_width,batch_size,density,lut_bytes,fits_l1,fits_l2,fits_l3,latency_per_word_us,throughput_Mword_s,mean,std,repeats,correctness_passed
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,18,4096,0.005,0,True,True,True,5.621500652826701,0.17788844327486872,5.621500652826701e-06,1.3681058194792887e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,18,4096,0.005,7340048,False,False,True,0.45881347432441544,2.1795349438515514,4.5881347432441544e-07,1.850591306375802e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,20,4096,0.005,0,True,True,True,5.769571946719528,0.17332308345137834,5.769571946719528e-06,5.0350207554932346e-08,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,20,4096,0.005,0,True,True,True,5.343839518445748,0.18713136810119801,5.343839518445748e-06,1.257824643913708e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,20,4096,0.005,0,True,True,True,5.621500652826701,0.17788844327486872,5.621500652826701e-06,1.3681058194792887e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,20,4096,0.005,25231360,False,False,False,0.4226236948549437,2.3661711640262575,4.226236948549437e-07,3.515599949639507e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,4,1,0.05,0,True,True,True,11.566677130758762,0.08645525319806355,1.1566677130758762e-05,1.527854415766654e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,4,1,0.05,0,True,True,True,13.200003498544296,0.07575755567869967,1.3200003498544296e-05,1.2529780768252197e-06,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,4,1,0.05,0,True,True,True,11.466656966755787,0.0872093760979514,1.1466656966755787e-05,5.775227697962083e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,4,1,0.05,2032,True,True,True,146.63332452376685,0.006819732166939423,0.00014663332452376684,2.62879069407434e-05,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,6,1,0.05,0,True,True,True,11.566677130758762,0.08645525319806355,1.1566677130758762e-05,1.527854415766654e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,6,1,0.05,0,True,True,True,13.200003498544296,0.07575755567869967,1.3200003498544296e-05,1.2529780768252197e-06,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,6,1,0.05,0,True,True,True,11.466656966755787,0.0872093760979514,1.1466656966755787e-05,5.775227697962083e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,6,1,0.05,5392,True,True,True,92.56667302300532,0.010803024105138498,9.256667302300532e-05,7.767512610376942e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,8,1,0.05,0,True,True,True,11.566677130758762,0.08645525319806355,1.1566677130758762e-05,1.527854415766654e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,8,1,0.05,0,True,True,True,13.200003498544296,0.07575755567869967,1.3200003498544296e-05,1.2529780768252197e-06,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,8,1,0.05,0,True,True,True,11.466656966755787,0.0872093760979514,1.1466656966755787e-05,5.775227697962083e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,8,1,0.05,16128,True,True,True,84.86667259906729,0.011783188492899513,8.486667259906729e-05,4.188508147484163e-06,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,10,1,0.05,0,True,True,True,11.566677130758762,0.08645525319806355,1.1566677130758762e-05,1.527854415766654e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,10,1,0.05,0,True,True,True,13.200003498544296,0.07575755567869967,1.3200003498544296e-05,1.2529780768252197e-06,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,10,1,0.05,0,True,True,True,11.466656966755787,0.0872093760979514,1.1466656966755787e-05,5.775227697962083e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,10,1,0.05,51264,False,True,True,69.46665234863758,0.014395396441176175,6.946665234863758e-05,1.1548773985543181e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,12,1,0.05,0,True,True,True,11.566677130758762,0.08645525319806355,1.1566677130758762e-05,1.527854415766654e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,12,1,0.05,0,True,True,True,13.200003498544296,0.07575755567869967,1.3200003498544296e-05,1.2529780768252197e-06,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,12,1,0.05,0,True,True,True,11.466656966755787,0.0872093760979514,1.1466656966755787e-05,5.775227697962083e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,12,1,0.05,172048,False,True,True,53.866669380416475,0.018564355500389554,5.3866669380416475e-05,2.3094186616776908e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,14,1,0.05,0,True,True,True,11.566677130758762,0.08645525319806355,1.1566677130758762e-05,1.527854415766654e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,14,1,0.05,0,True,True,True,13.200003498544296,0.07575755567869967,1.3200003498544296e-05,1.2529780768252197e-06,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,14,1,0.05,0,True,True,True,11.466656966755787,0.0872093760979514,1.1466656966755787e-05,5.775227697962083e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,14,1,0.05,589840,False,True,True,45.79999949783087,0.021834061374768378,4.579999949783087e-05,1.00000761449337e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,16,1,0.05,0,True,True,True,11.566677130758762,0.08645525319806355,1.1566677130758762e-05,1.527854415766654e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,16,1,0.05,0,True,True,True,13.200003498544296,0.07575755567869967,1.3200003498544296e-05,1.2529780768252197e-06,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,16,1,0.05,0,True,True,True,11.466656966755787,0.0872093760979514,1.1466656966755787e-05,5.775227697962083e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,16,1,0.05,2031616,False,False,True,35.8333345502615,0.027906975796443214,3.58333345502615e-05,1.1548773985543181e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,18,1,0.05,0,True,True,True,11.566677130758762,0.08645525319806355,1.1566677130758762e-05,1.527854415766654e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,18,1,0.05,0,True,True,True,13.200003498544296,0.07575755567869967,1.3200003498544296e-05,1.2529780768252197e-06,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,18,1,0.05,0,True,True,True,11.466656966755787,0.0872093760979514,1.1466656966755787e-05,5.775227697962083e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,18,1,0.05,7340048,False,False,True,32.96666545793414,0.030333671486308254,3.296666545793414e-05,1.5272828397692432e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,20,1,0.05,0,True,True,True,11.566677130758762,0.08645525319806355,1.1566677130758762e-05,1.527854415766654e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,20,1,0.05,0,True,True,True,13.200003498544296,0.07575755567869967,1.3200003498544296e-05,1.2529780768252197e-06,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,20,1,0.05,0,True,True,True,11.466656966755787,0.0872093760979514,1.1466656966755787e-05,5.775227697962083e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,20,1,0.05,25231360,False,False,False,31.166671154399715,0.03208555687728084,3.1166671154399715e-05,2.3860888578092134e-06,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,4,64,0.05,0,True,True,True,5.104687564501849,0.19589837524122536,5.104687564501849e-06,1.5158676473022137e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,4,64,0.05,0,True,True,True,6.370833337617417,0.15696533671590016,6.370833337617417e-06,1.6192994937258313e-07,3,True
