profile,task,batch_size,round_index,block_width,input_width,output_width,active_input_bytes,l1_fit_active_input,correctness_passed,stage_total_s,stage_repeats,stage_read_prepare_s,stage_read_prepare_pct,stage_index_s,stage_index_pct,stage_lookup_s,stage_lookup_pct,stage_xor_s,stage_xor_pct,stage_write_s,stage_write_pct
bch_255_239_r16,parity,2000,1,14,239,16,59750.0,False,True,0.0007216999074444,5,0.0001557001378387,21.57408311025905,0.0005037999944761,69.80740738351005,3.750005271285772e-05,5.196072817252762,1.8600025214254856e-05,2.577251988311687,6.00004568696022e-07,0.0831376812587761
bch_255_239_r16,parity,3000,1,14,239,16,89625.0,False,True,0.0010850999969989,5,0.0002395999617874,22.080910740957616,0.0007653997745364,70.5372570872159,6.089976523071528e-05,5.612364335005768,2.620008308440447e-05,2.414531670525005,7.00005330145359e-07,0.0645106747840185
bch_255_239_r16,parity,5000,1,14,239,16,149375.0,False,True,0.0018779000965878,5,0.0004067998379468,21.662485596867008,0.0013633999042212,72.60236615880726,8.760020136833191e-05,4.664795615459116,3.8199941627681255e-05,2.034183910906173,9.00006853044033e-07,0.0479262371134308
bch_255_239_r16,parity,7000,1,14,239,16,209125.0,False,True,0.0027143998304381,5,0.0006001002620905,22.108027541163203,0.0018992001423612,69.96758992777524,0.0001206002198159,4.4429791979651165,4.96001448482275e-05,1.8272969328995408,1.300009898841381e-06,0.0478930879770765
bch_255_239_r16,parity,10000,1,14,239,16,298750.0,False,True,0.0083280999679118,5,0.0013749001082032,16.509169120216864,0.0065579999936744,78.74545237139833,0.0001783001935109,2.140946844993937,7.639976684004068e-05,0.9173733160553896,1.800013706088066e-06,0.0216137379837359
bch_255_239_r16,parity,30000,1,14,239,16,896250.0,False,True,0.0274876003386452,5,0.0061130997492,22.239481343904497,0.021053199772723,76.59162499945101,0.0004255000967532,1.547971054261226,0.0002207998186349,0.8032706235347896,5.300040356814861e-06,0.0192815680216488
bch_255_239_r16,parity,100000,1,14,239,16,2987500.0,False,True,0.0905258001293987,5,0.0224573999876156,24.807734320508363,0.0659717000089585,72.87613024646875,0.001346799894236,1.4877525438172274,0.0006840006681159,0.7555864373893352,1.3199984095990658e-05,0.0145814608400284
bch_255_239_r16,parity,300000,1,14,239,16,8962500.0,False,True,0.314117000089027,5,0.0739952001022175,23.55657289520968,0.232839799602516,74.12518250732198,0.0051292002899572,1.6328948412545352,0.0020771000999957,0.6612504574432587,4.9200025387108326e-05,0.0156629616904414
bch_255_239_r16,parity,1000000,1,14,239,16,29875000.0,False,True,1.0511152992257848,5,0.2496674000285565,23.75261783483248,0.7730972997378558,73.55019000363637,0.0222758000018075,2.119253712529453,0.0069394001038745,0.6601939966991087,0.0004736999981105,0.0450664164492176
bch_255_239_r16,parity,3000000,1,14,239,16,89625000.0,False,True,3.4349866998381917,5,0.7032066002720967,20.471887134387508,2.648585300077684,77.10612970357204,0.0644715001108124,1.8769068338415835,0.0197010997217148,0.5735422417397684,0.0013874000869691,0.0403902608133677
